2025-06-19 14:44:24 | T2 | frame 65 | tentativas 1
2025-06-19 14:44:25 | T2 | frame 66 | tentativas 1
2025-06-19 14:44:25 | T2 | frame 67 | tentativas 1
2025-06-19 14:44:26 | T2 | frame 68 | tentativas 1
2025-06-19 14:44:26 | T2 | frame 69 | tentativas 1
2025-06-19 14:44:27 | T2 | frame 70 | tentativas 1
2025-06-19 14:44:27 | T2 | frame 71 | tentativas 1
2025-06-19 14:44:28 | T2 | frame 72 | tentativas 1
2025-06-19 14:44:28 | T2 | frame 73 | tentativas 1
2025-06-19 14:44:29 | T2 | frame 74 | tentativas 1
2025-06-19 14:44:29 | T2 | frame 75 | tentativas 1
2025-06-19 14:44:29 | T2 | frame 76 | tentativas 1
2025-06-19 14:44:30 | T2 | frame 77 | tentativas 1
2025-06-19 14:44:30 | T2 | frame 78 | tentativas 1
2025-06-19 14:44:31 | T2 | frame 79 | tentativas 1
2025-06-19 14:44:31 | T2 | frame 80 | tentativas 1
2025-06-19 14:44:32 | T2 | frame 81 | tentativas 1
2025-06-19 14:44:32 | T2 | frame 82 | tentativas 1
2025-06-19 14:44:32 | T2 | frame 83 | tentativas 1
2025-06-19 14:44:33 | T2 | frame 84 | tentativas 1
2025-06-19 14:44:33 | T2 | frame 85 | tentativas 1
2025-06-19 14:44:34 | T2 | frame 86 | tentativas 1
2025-06-19 14:44:34 | T2 | frame 87 | tentativas 1
2025-06-19 14:44:34 | T2 | frame 88 | tentativas 1
2025-06-19 14:44:35 | T2 | frame 89 | tentativas 1
2025-06-19 14:44:35 | T2 | frame 90 | tentativas 1
2025-06-19 14:44:36 | T2 | frame 91 | tentativas 1
2025-06-19 14:44:36 | T2 | frame 92 | tentativas 1
2025-06-19 14:44:37 | T2 | frame 93 | tentativas 1
2025-06-19 14:44:37 | T2 | frame 94 | tentativas 1
2025-06-19 14:44:37 | T2 | frame 95 | tentativas 1
2025-06-19 14:44:38 | T2 | frame 96 | tentativas 1
2025-06-19 14:44:38 | T2 | frame 97 | tentativas 1
2025-06-19 14:44:39 | T2 | frame 98 | tentativas 1
2025-06-19 14:44:39 | T2 | frame 99 | tentativas 1
2025-06-19 14:44:40 | T1 | frame 38 | tentativas 6
2025-06-19 14:44:40 | T1 | frame 39 | tentativas 1
2025-06-19 14:44:40 | T1 | frame 40 | tentativas 1
2025-06-19 14:44:41 | T1 | frame 41 | tentativas 1
2025-06-19 14:44:41 | T1 | frame 42 | tentativas 1
2025-06-19 14:44:42 | T1 | frame 43 | tentativas 1
2025-06-19 14:44:42 | T1 | frame 44 | tentativas 1
2025-06-19 14:44:42 | T1 | frame 45 | tentativas 1
2025-06-19 14:44:43 | T1 | frame 46 | tentativas 1
2025-06-19 14:44:43 | T1 | frame 47 | tentativas 1
2025-06-19 14:44:44 | T1 | frame 48 | tentativas 1
2025-06-19 14:44:44 | T1 | frame 49 | tentativas 1
2025-06-19 14:44:45 | T1 | frame 50 | tentativas 1
2025-06-19 14:44:45 | T1 | frame 51 | tentativas 1
2025-06-19 14:44:45 | T1 | frame 52 | tentativas 1
2025-06-19 14:44:46 | T1 | frame 53 | tentativas 1
2025-06-19 14:44:46 | T1 | frame 54 | tentativas 1
2025-06-19 14:44:47 | T1 | frame 55 | tentativas 1
2025-06-19 14:44:47 | T1 | frame 56 | tentativas 1
2025-06-19 14:44:48 | T1 | frame 57 | tentativas 1
2025-06-19 14:44:48 | T1 | frame 58 | tentativas 1
2025-06-19 14:44:48 | T1 | frame 59 | tentativas 1
2025-06-19 14:44:49 | T1 | frame 60 | tentativas 1
2025-06-19 14:44:49 | T1 | frame 61 | tentativas 1
2025-06-19 14:44:50 | T1 | frame 62 | tentativas 1
2025-06-19 14:44:50 | T1 | frame 63 | tentativas 1
2025-06-19 14:44:51 | T1 | frame 64 | tentativas 1
2025-06-19 14:44:51 | T1 | frame 65 | tentativas 1
2025-06-19 14:44:51 | T1 | frame 66 | tentativas 1
2025-06-19 14:44:52 | T1 | frame 67 | tentativas 1
2025-06-19 14:44:52 | T1 | frame 68 | tentativas 1
2025-06-19 14:44:53 | T1 | frame 69 | tentativas 1
2025-06-19 14:44:53 | T1 | frame 70 | tentativas 1
2025-06-19 14:44:54 | T1 | frame 71 | tentativas 1
2025-06-19 14:44:54 | T1 | frame 72 | tentativas 1
2025-06-19 14:44:54 | T1 | frame 73 | tentativas 1
2025-06-19 14:44:55 | T1 | frame 74 | tentativas 1
2025-06-19 14:44:55 | T1 | frame 75 | tentativas 1
2025-06-19 14:44:56 | T1 | frame 76 | tentativas 1
2025-06-19 14:44:56 | T1 | frame 77 | tentativas 1
2025-06-19 14:44:57 | T1 | frame 78 | tentativas 1
2025-06-19 14:44:57 | T1 | frame 79 | tentativas 1
2025-06-19 14:44:57 | T1 | frame 80 | tentativas 1
2025-06-19 14:44:58 | T1 | frame 81 | tentativas 1
2025-06-19 14:44:58 | T1 | frame 82 | tentativas 1
2025-06-19 14:44:59 | T1 | frame 83 | tentativas 1
2025-06-19 14:44:59 | T1 | frame 84 | tentativas 1
2025-06-19 14:44:59 | T1 | frame 85 | tentativas 1
2025-06-19 14:45:00 | T1 | frame 86 | tentativas 1
2025-06-19 14:45:00 | T1 | frame 87 | tentativas 1
2025-06-19 14:45:01 | T1 | frame 88 | tentativas 1
2025-06-19 14:45:01 | T1 | frame 89 | tentativas 1
2025-06-19 14:45:02 | T1 | frame 90 | tentativas 1
2025-06-19 14:45:02 | T1 | frame 91 | tentativas 1
2025-06-19 14:45:02 | T1 | frame 92 | tentativas 1
2025-06-19 14:45:03 | T1 | frame 93 | tentativas 1
2025-06-19 14:45:03 | T1 | frame 94 | tentativas 1
2025-06-19 14:45:04 | T1 | frame 95 | tentativas 1
2025-06-19 14:45:04 | T1 | frame 96 | tentativas 1
2025-06-19 14:45:05 | T1 | frame 97 | tentativas 1
2025-06-19 14:45:05 | T1 | frame 98 | tentativas 1
2025-06-19 14:45:05 | T1 | frame 99 | tentativas 1
